# zs        u          g          r          i          z          u-g                     g-r                  r-i                  i-z                     eu          eg           er           ei           ez           eu-g                  eg-r                  er-i                   ei-z                  
6.126000000000000334e-01 2.540183000000000035e+01 2.221904999999999930e+01 2.114812999999999832e+01 2.001803999999999917e+01 1.976064999999999827e+01 3.182780000000001053e+00 1.070920000000000982e+00 1.130089999999999151e+00 2.573900000000008959e-01 1.671308000000000016e+00 2.151266000000000012e-01 1.219482999999999956e-01 6.743240999999999818e-02 2.001573000000000102e-01 1.685096402254648629e+00 2.472869626576581215e-01 1.393503419131008059e-01 2.112109719254615381e-01
6.518000000000000460e-01 2.218344000000000094e+01 2.195871999999999957e+01 2.077964000000000055e+01 1.984022999999999826e+01 1.937838999999999956e+01 2.247200000000013631e-01 1.179079999999999018e+00 9.394100000000022987e-01 4.618399999999986960e-01 5.667904999999999749e-01 1.501178999999999986e-01 7.618244999999999878e-02 5.042350000000000304e-02 1.379199000000000119e-01 5.863333990066231793e-01 1.683423582715072309e-01 9.135805952543267494e-02 1.468483168724109278e-01
6.239999999999999991e-01 2.314422000000000068e+01 2.327220000000000155e+01 2.125812000000000168e+01 2.009500999999999848e+01 1.954700000000000060e+01 -1.279800000000008708e-01 2.014079999999999870e+00 1.163110000000003197e+00 5.480099999999978877e-01 7.522455999999999587e-01 2.899468000000000045e-01 6.926274000000000319e-02 3.699957999999999719e-02 9.496380999999999573e-02 8.061901695937503387e-01 2.981048036891515984e-01 7.852576693343402137e-02 1.019170943948683183e-01
6.064000000000000501e-01 2.254946999999999946e+01 2.163206999999999880e+01 2.051325999999999894e+01 1.958858000000000033e+01 1.935071999999999903e+01 9.174000000000006594e-01 1.118809999999999860e+00 9.246799999999986142e-01 2.378600000000012926e-01 8.323051000000000199e-01 1.275161999999999962e-01 7.452483999999999498e-02 5.167913999999999841e-02 1.584334000000000020e-01 8.420167223686534363e-01 1.476967604230559894e-01 9.069005065697779977e-02 1.666489596328150080e-01
6.027000000000000135e-01 2.211871000000000009e+01 2.218927000000000049e+01 2.099674999999999869e+01 2.001363999999999876e+01 1.993184000000000111e+01 -7.056000000000040018e-02 1.192520000000001801e+00 9.831099999999999284e-01 8.179999999999765237e-02 5.673884000000000150e-01 1.810167000000000026e-01 9.367772000000000598e-02 5.693093999999999932e-02 2.094919000000000087e-01 5.955641377160397765e-01 2.038199227339869413e-01 1.096204686802697420e-01 2.170898157327828537e-01
5.100999999999999979e-01 2.650863000000000014e+01 2.185811999999999955e+01 2.018279000000000067e+01 1.930069999999999908e+01 1.870129999999999981e+01 4.650510000000000588e+00 1.675329999999998876e+00 8.820900000000015950e-01 5.993999999999992667e-01 8.430876999999999954e-01 1.910340000000000094e-01 6.400290000000000146e-02 4.657084999999999697e-02 1.103288999999999936e-01 8.644598654924877668e-01 2.014704950220006785e-01 7.915311287708462484e-02 1.197552096776273861e-01
5.573000000000000176e-01 2.369873000000000118e+01 2.187231999999999843e+01 2.008507000000000176e+01 1.909442999999999913e+01 1.860115000000000052e+01 1.826410000000002753e+00 1.787249999999996675e+00 9.906400000000026296e-01 4.932799999999986085e-01 1.732688999999999924e+00 1.475370000000000015e-01 4.464978000000000002e-02 2.769175000000000109e-02 7.446270000000000666e-02 1.738958980853199776e+00 1.541452860876660058e-01 5.253985032440518926e-02 7.944511759291757180e-02
4.536000000000000032e-01 2.282434999999999903e+01 2.230696999999999974e+01 2.066419000000000139e+01 1.965855000000000175e+01 1.889454999999999885e+01 5.173799999999992849e-01 1.642779999999998353e+00 1.005639999999999645e+00 7.640000000000028990e-01 9.671545999999999754e-01 1.958370999999999862e-01 6.589240999999999848e-02 4.038230999999999765e-02 9.962936999999999488e-02 9.867827471320979038e-01 2.066252148989035919e-01 7.728221436103005493e-02 1.075022898711139041e-01
4.323000000000000176e-01 2.346212999999999838e+01 2.178435999999999950e+01 2.018721999999999994e+01 1.941004999999999825e+01 1.894018000000000157e+01 1.677769999999998873e+00 1.597139999999999560e+00 7.771700000000016928e-01 4.698699999999966792e-01 1.196547999999999945e+00 9.816758000000000428e-02 3.502548999999999940e-02 2.646160999999999999e-02 8.248993999999999771e-02 1.200568194675777800e+00 1.042288765784055715e-01 4.389762810827254474e-02 8.663028918914965348e-02
5.336999999999999522e-01 2.463967999999999847e+01 2.259530000000000172e+01 2.028031999999999968e+01 1.925158000000000058e+01 1.886477000000000004e+01 2.044379999999996755e+00 2.314980000000002036e+00 1.028739999999999100e+00 3.868100000000005423e-01 2.857353999999999949e+00 3.386758999999999742e-01 6.199728999999999657e-02 4.095127999999999963e-02 1.018425000000000025e-01 2.877355252059921042e+00 3.443036874739422437e-01 7.430122005043053590e-02 1.097674912708147821e-01
6.038999999999999924e-01 2.196952999999999889e+01 2.147106000000000137e+01 1.985548000000000002e+01 1.879567000000000121e+01 1.828640000000000043e+01 4.984699999999975262e-01 1.615580000000001348e+00 1.059809999999998809e+00 5.092700000000007776e-01 8.377320999999999795e-01 1.673542000000000085e-01 5.975277999999999839e-02 3.295174000000000020e-02 8.815323999999999383e-02 8.542847883627859851e-01 1.777014996429923388e-01 6.823644104696550972e-02 9.411063112914076767e-02
4.653999999999999804e-01 2.560322000000000031e+01 2.202252000000000010e+01 2.037025999999999826e+01 1.944481000000000037e+01 1.891104999999999947e+01 3.580700000000000216e+00 1.652260000000001838e+00 9.254499999999978854e-01 5.337600000000009004e-01 1.629915000000000003e+00 1.820211999999999941e-01 5.915575000000000000e-02 4.331252000000000019e-02 1.121136999999999967e-01 1.640047140930540381e+00 1.913925808580429211e-01 7.331696356787356650e-02 1.201892512516838929e-01
6.011999999999999567e-01 2.392589999999999861e+01 2.182073000000000107e+01 2.075968999999999909e+01 1.984103999999999957e+01 1.949762000000000128e+01 2.105169999999997543e+00 1.061040000000001982e+00 9.186499999999995225e-01 3.434199999999982822e-01 2.239892000000000216e+00 2.125959000000000043e-01 9.918277999999999817e-02 6.789130999999999638e-02 2.017354000000000092e-01 2.249958485919420603e+00 2.345937777208474961e-01 1.201934017408796823e-01 2.128530046456382774e-01
4.414000000000000146e-01 2.173560000000000159e+01 2.113063999999999965e+01 1.964784999999999826e+01 1.888391000000000020e+01 1.841028000000000020e+01 6.049600000000019406e-01 1.482790000000001385e+00 7.639399999999980651e-01 4.736299999999999955e-01 5.761981999999999937e-01 1.001342999999999955e-01 3.870549000000000212e-02 3.243564000000000169e-02 8.942066999999999377e-02 5.848343728952070109e-01 1.073545201313391290e-01 5.049936334598387894e-02 9.512164299179497184e-02
5.405999999999999694e-01 2.219144000000000005e+01 2.124171000000000120e+01 2.020438000000000045e+01 1.920769999999999911e+01 1.896996000000000038e+01 9.497299999999988529e-01 1.037330000000000751e+00 9.966800000000013426e-01 2.377399999999987301e-01 4.337417000000000078e-01 8.822811999999999322e-02 4.138080000000000230e-02 2.660047000000000106e-02 8.620510000000000672e-02 4.426240656331560386e-01 9.745035539891272469e-02 4.919304435447047902e-02 9.021587593229309088e-02
5.363999999999999879e-01 2.258193999999999946e+01 2.322280999999999906e+01 2.089188000000000045e+01 1.994705000000000084e+01 1.947964999999999947e+01 -6.408699999999996066e-01 2.330929999999998614e+00 9.448299999999996146e-01 4.674000000000013699e-01 5.367410000000000236e-01 2.987105999999999928e-01 5.580711000000000005e-02 3.319062999999999874e-02 9.989330000000000431e-02 6.142629108397804627e-01 3.038790155290623241e-01 6.493112848510335100e-02 1.052629531444320699e-01
5.629999999999999449e-01 2.298350999999999900e+01 2.190343999999999980e+01 2.030350999999999928e+01 1.921412000000000120e+01 1.877837999999999852e+01 1.080069999999999197e+00 1.599930000000000518e+00 1.089389999999998082e+00 4.357400000000026807e-01 9.141656000000000226e-01 1.203551000000000065e-01 4.269574999999999759e-02 2.255236000000000046e-02 6.776922999999999975e-02 9.220542794865007608e-01 1.277038651101543576e-01 4.828598150221345003e-02 7.142322784894630794e-02
